,Coshocton,Coshocton,Coshocton,Coshocton,Coshocton,Coshocton,Coshocton,Crooksville,Crooksville,Crooksville,Crooksville,Crooksville,Crooksville,Crooksville,East Muskingum,East Muskingum,East Muskingum,East Muskingum,East Muskingum,East Muskingum,East Muskingum,Franklin,Franklin,Franklin,Franklin,Franklin,Franklin,Franklin,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Maysville,Maysville,Maysville,Maysville,Maysville,Maysville,Maysville,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Riverview,Riverview,Riverview,Riverview,Riverview,Riverview,Riverview,TriValley,TriValley,TriValley,TriValley,TriValley,TriValley,TriValley,West Muskingum,West Muskingum,West Muskingum,West Muskingum,West Muskingum,West Muskingum,West Muskingum,Zanesville,Zanesville,Zanesville,Zanesville,Zanesville,Zanesville,Zanesville
,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013
absent_grade_8_tardy_unexcused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_absence_excused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_suspension_educated,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_tardy_unexcused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_8_absence_unexcused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_absence_unexcused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_6_absence_all_day,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_6_med_legal_all_day,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_6_school_transport_issue,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_6_tardy_unexcused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_7_absence_unexcused,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_7_early_dismiss_approved,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_7_tardy_medical,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_suspension,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_7_suspension_in_school,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_8_early_dismiss_approved,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_8_suspension_in_school,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_5_misc,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_7_misc,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_8_misc,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_early_dismiss,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_9_misc,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
absent_grade_5_absence_all_day,0.9939024390243902,1.0,0.9937106918238994,0.037037037037037035,0.0,0.0,0.006756756756756757,,,,0.75,0.96875,0.957983193277311,0.94,,,,0.625,0.9884393063583815,0.9826589595375722,0.9666666666666667,1.0,1.0,0.9776536312849162,0.05172413793103448,0.03954802259887006,0.03260869565217391,0.011560693641618497,,,,,,1.0,0.996969696969697,1.0,1.0,1.0,0.9906103286384976,0.9044585987261147,0.9162303664921466,0.9435897435897436,,,,,,0.25,0.9896373056994818,,,,0.5,0.8571428571428571,0.9875776397515528,0.9758064516129032,,,,,,0.9948453608247423,0.994413407821229,1.0,1.0,1.0,0.01818181818181818,0.03125,0.021052631578947368,0.01639344262295082,1.0,1.0,1.0,0.05789473684210526,0.026881720430107527,0.016853932584269662,0.027777777777777776,0.9963636363636363,1.0,0.9961089494163424,0.9736842105263158,0.9662447257383966,0.9623430962343096,0.9446494464944649,1.0,1.0,1.0,0.9772727272727273,0.9495798319327731,0.9448818897637795,0.9230769230769231,,,1.0,0.6666666666666666,0.21428571428571427,0.1284722222222222,0.06329113924050633
